#,jianpu,semitones,timbre,string,position,P,alternatives,左手 (heuristic),vs baseline
1,"6,",2.0,散音,二弦,—,0.91,按 一弦 十三徽一分 0.09,,
2,1,5.0,散音,三弦,—,0.793,按 一弦 十徽 0.17 / 按 二弦 十二徽二分 0.04,,
3,2,7.0,散音,四弦,—,0.735,按 一弦 九徽 0.14 / 按 三弦 十三徽一分 0.07,,
4,3,9.0,散音,五弦,—,0.496,按 二弦 九徽 0.15 / 按 三弦 十徽九分 0.14,,
5,2,7.0,散音,四弦,—,0.63,按 二弦 十徽 0.15 / 按 一弦 九徽 0.14,,
6,1,5.0,散音,三弦,—,0.737,按 一弦 十徽 0.19 / 按 二弦 十二徽二分 0.07,,
7,"6,",2.0,散音,二弦,—,0.91,按 一弦 十三徽一分 0.09,,
8,1,5.0,散音,三弦,—,0.793,按 一弦 十徽 0.17 / 按 二弦 十二徽二分 0.04,,
9,2,7.0,散音,四弦,—,0.735,按 一弦 九徽 0.14 / 按 三弦 十三徽一分 0.07,,
10,3,9.0,散音,五弦,—,0.673,按 二弦 九徽 0.11 / 按 三弦 十徽九分 0.10,,
11,5,12.0,散音,六弦,—,0.58,按 四弦 十徽 0.12 / 按 三弦 九徽 0.10,,
12,^5,12.0,泛音,一弦,七徽,1.0,,名指,
13,^6,14.0,泛音,二弦,七徽,1.0,,名指,
14,^1',17.0,泛音,三弦,七徽,1.0,,名指,
15,^6,14.0,泛音,二弦,七徽,1.0,,名指,
16,^5,12.0,泛音,一弦,七徽,1.0,,名指,
17,2,7.0,散音,四弦,—,0.735,按 一弦 九徽 0.14 / 按 三弦 十三徽一分 0.07,,
18,3,9.0,散音,五弦,—,0.673,按 二弦 九徽 0.11 / 按 三弦 十徽九分 0.10,,
19,5,12.0,散音,六弦,—,0.548,按 四弦 十徽 0.17 / 按 三弦 九徽 0.15,,
20,6,14.0,散音,七弦,—,0.462,按 五弦 十徽 0.18 / 按 四弦 九徽 0.15,,
21,1',17.0,按音,六弦,十徽,0.351,按 五弦 八徽四分 0.23 / 按 四弦 七徽六分 0.13,名指,
22,6,14.0,散音,七弦,—,0.284,按 四弦 九徽 0.26 / 按 五弦 十徽 0.21,,
23,5,12.0,散音,六弦,—,0.436,按 三弦 九徽 0.23 / 按 四弦 十徽 0.17,,
24,3,9.0,散音,五弦,—,0.496,按 二弦 九徽 0.15 / 按 三弦 十徽九分 0.14,,
25,2,7.0,散音,四弦,—,0.63,按 二弦 十徽 0.15 / 按 一弦 九徽 0.14,,
26,1,5.0,散音,三弦,—,0.808,按 一弦 十徽 0.14 / 按 二弦 十二徽二分 0.05,,
